,ip,date,time,cik,accession,extention
233,107.23.85.jfd,2017-06-30,00:00:01,841535.0,0000841535-01-500003,-index.htm
234,107.23.85.jfd,2017-06-30,00:00:01,841535.0,0000841535-02-000005,-index.htm
235,107.23.85.jfd,2017-06-30,00:00:01,841535.0,0000841535-03-000004,-index.htm
236,107.23.85.jfd,2017-06-30,00:00:01,1136894.0,0000905148-07-003545,-index.htm
237,107.23.85.jfd,2017-06-30,00:00:01,1375566.0,0001351930-07-000005,-index.htm
238,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0001125282-01-001471,-index.htm
239,107.23.85.jfd,2017-06-30,00:00:01,1136894.0,0000905148-07-003004,-index.htm
240,107.23.85.jfd,2017-06-30,00:00:01,1375566.0,0001361234-06-000007,-index.htm
241,107.23.85.jfd,2017-06-30,00:00:01,1136894.0,0000905148-07-002028,-index.htm
242,107.23.85.jfd,2017-06-30,00:00:01,1375566.0,0001019965-07-000176,-index.htm
243,107.23.85.jfd,2017-06-30,00:00:01,841535.0,0000841535-04-000002,-index.htm
244,107.23.85.jfd,2017-06-30,00:00:01,1372211.0,0001144204-06-033926,-index.htm
245,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0001125282-00-001032,-index.htm
246,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0000950136-00-001300,-index.htm
247,107.23.85.jfd,2017-06-30,00:00:01,1027281.0,0000889812-99-003699,-index.html
248,108.54.237.aji,2017-06-30,00:00:01,1115055.0,0001115055-14-000037,.txt
249,108.91.91.hbc,2017-06-30,00:00:01,1295391.0,0001209784-17-000052,.txt
250,108.91.91.hbc,2017-06-30,00:00:01,1295391.0,0001209784-17-000052,.txt
